"""Munic¡pio"";""Quantidade aprovada"";""Valor aprovado"""
"""210970 SAMBAIBA"";11113;714611,25"
"""210980 SANTA HELENA"";69037;3955617,46"
"""210990 SANTA INES"";2001057;59663579,23"
"""211000 SANTA LUZIA"";70350;8644285,97"
"""211003 SANTA LUZIA DO PARUA"";408409;11479884,89"
"""211010 SANTA QUITERIA DO MARANHAO"";50332;3112047,21"
"""211020 SANTA RITA"";21697;4071363,79"
"""211023 SANTANA DO MARANHAO"";24786;1043183,80"
"""211027 SANTO AMARO DO MARANHAO"";12080;1135116,05"
"""211030 SANTO ANTONIO DOS LOPES"";7012;1526800,42"
"""211040 SAO BENEDITO DO RIO PRETO"";16443;1500328,81"
"""211050 SAO BENTO"";15204;3893346,58"
"""211060 SAO BERNARDO"";69966;3851072,37"
"""211065 SAO DOMINGOS DO AZEITAO"";17477;966715,08"
"""211070 SAO DOMINGOS DO MARANHAO"";58467;4629387,05"
"""211080 SAO FELIX DE BALSAS"";11997;725246,10"
"""211085 SAO FRANCISCO DO BREJAO"";5783;1090960,41"
"""211090 SAO FRANCISCO DO MARANHAO"";15666;1864646,21"
"""211100 SAO JOAO BATISTA"";16202;2218030,85"
"""211102 SAO JOAO DO CARU"";15445;999056,35"
"""211107 SAO JOAO DO SOTER"";98570;2414677,94"
"""211110 SAO JOAO DOS PATOS"";56714;2379170,19"
"""211120 SAO JOSE DE RIBAMAR"";206212;9091834,33"
"""211125 SAO JOSE DOS BASILIOS"";14951;747356,45"
"""211130 SAO LUIS"";36677227;1344744396,24"
"""211140 SAO LUIS GONZAGA DO MARANHAO"";52756;3680883,26"
"""211150 SAO MATEUS DO MARANHAO"";312437;3927844,59"
"""211153 SAO PEDRO DA AGUA BRANCA"";4433;1946885,65"
"""211157 SAO PEDRO DOS CRENTES"";5645;1785429,44"
"""211160 SAO RAIMUNDO DAS MANGABEIRAS"";47882;3860007,43"
"""211163 SAO RAIMUNDO DO DOCA BEZERRA"";3438;169663,11"
"""211170 SAO VICENTE FERRER"";24118;3003241,94"
"""211172 SATUBINHA"";41998;1351836,26"
"""211174 SENADOR ALEXANDRE COSTA"";4970;897244,78"
"""211178 SERRANO DO MARANHAO"";13484;895011,63"
"""211180 SITIO NOVO"";10593;2669907,38"
"""211190 SUCUPIRA DO NORTE"";6288;1261953,15"
"""211195 SUCUPIRA DO RIACHAO"";11330;639668,87"
"""211200 TASSO FRAGOSO"";11909;550963,93"
"""211210 TIMBIRAS"";735746;13062104,18"
"""211220 TIMON"";905370;41618669,89"
"""211223 TRIZIDELA DO VALE"";71635;2590648,23"
"""211227 TUFILANDIA"";3269;382529,38"
"""211230 TUNTUM"";38910;5659233,15"
"""211240 TURIACU"";62969;2389205,81"
"""211245 TURILANDIA"";857;304886,95"
"""211250 TUTOIA"";152814;5020882,77"
"""211260 URBANO SANTOS"";90543;4122679,03"
"""211270 VARGEM GRANDE"";78627;4242990,19"
"""211280 VIANA"";583681;9866877,45"
"""211285 VILA NOVA DOS MARTIRIOS"";10126;1335701,44"
